snailID,concentration,confct,time,status
G17,10,c,24,1
G17,10,c,24,1
G17,10,c,24,1
G17,10,c,24,1
G17,10,c,24,1
G17,10,c,24,1
G17,10,c,24,1
G17,10,c,24,1
G17,10,c,24,1
G17,10,c,24,1
G17,15,d,8,2
G17,15,d,24,2
G17,15,d,24,2
G17,15,d,24,2
G17,15,d,24,2
G17,15,d,24,2
G17,15,d,24,2
G17,15,d,24,2
G17,15,d,24,2
G17,15,d,24,1
G17,15,d,24,1
G17,15,d,24,1
G17,15,d,24,1
G17,15,d,24,1
G17,15,d,24,1
G17,15,d,24,1
G17,15,d,24,1
G17,15,d,24,1
G17,15,d,24,1
G17,15,d,24,1
G17,15,d,24,1
G18,1,a,4,2
G18,1,a,4,2
G18,1,a,12,2
G18,1,a,12,2
G18,1,a,24,2
G18,1,a,24,2
G18,1,a,24,2
G18,1,a,24,2
G18,1,a,24,2
G18,1,a,24,2
G18,1,a,24,2
G18,1,a,24,2
G18,1,a,24,2
G18,1,a,24,2
G18,1,a,24,2
G18,1,a,24,2
G18,1,a,24,1
G18,5,b,8,2
G18,5,b,12,2
G18,5,b,12,2
G18,5,b,24,2
G18,5,b,24,2
G18,5,b,24,2
G18,5,b,24,2
G18,5,b,24,2
G18,5,b,24,2
G18,5,b,24,2
G18,5,b,24,2
G18,5,b,24,2
G18,5,b,24,2
G18,5,b,24,2
G18,5,b,24,1
G18,5,b,24,1
G18,5,b,24,1
G18,5,b,24,1
G18,5,b,24,1
G18,5,b,24,1
G18,10,c,4,2
G18,10,c,24,2
G18,10,c,24,2
G18,10,c,24,2
G18,10,c,24,2
G18,10,c,24,2
G18,10,c,24,2
G18,10,c,24,2
G18,10,c,24,2
G18,10,c,24,2
G18,10,c,24,2
G18,10,c,24,2
G18,10,c,24,2
G18,10,c,24,1
G18,10,c,24,1
G18,10,c,24,1
G18,10,c,24,1
G18,10,c,24,1
G18,10,c,24,1
G18,15,d,4,2
G18,15,d,12,2
G18,15,d,24,2
G18,15,d,24,2
G18,15,d,24,2
G18,15,d,24,2
G18,15,d,24,2
G18,15,d,24,2
G18,15,d,24,2
G18,15,d,24,2
G18,15,d,24,2
G18,15,d,24,2
G18,15,d,24,2
G18,15,d,24,2
G18,15,d,24,2
G18,15,d,24,2
G18,15,d,24,1
G18,15,d,24,1
G18,15,d,24,1
G18,15,d,24,1
G18,15,d,24,1
G18,15,d,24,1
G19,1,a,4,2
G19,1,a,8,2
G19,1,a,12,2
G19,1,a,12,2
G19,1,a,12,2
G19,1,a,24,2
G19,1,a,24,2
G19,1,a,24,2
G19,1,a,24,2
G19,1,a,24,2
G19,1,a,24,2
G19,1,a,24,2
G19,1,a,24,2
G19,1,a,24,2
G19,5,b,4,2
G19,5,b,4,2
G19,5,b,12,2
G19,5,b,12,2
G19,5,b,24,2
G19,5,b,24,2
G19,5,b,24,2
G19,5,b,24,2
G19,5,b,24,2
G19,5,b,24,2
G19,5,b,24,2
G19,5,b,24,2
G19,5,b,24,2
G19,5,b,24,2
G19,5,b,24,2
G19,5,b,24,2
G19,5,b,24,2
G19,5,b,24,2
G19,5,b,24,1
G19,5,b,24,1
G19,5,b,24,1
G19,5,b,24,1
G19,10,c,4,2
G19,10,c,4,2
G19,10,c,4,2
G19,10,c,4,2
G19,10,c,12,2
G19,10,c,24,2
G19,10,c,24,2
G19,10,c,24,2
G19,10,c,24,2
G19,10,c,24,2
G19,10,c,24,2
G19,10,c,24,2
G19,10,c,24,2
G19,10,c,24,2
G19,10,c,24,2
G19,10,c,24,2
G19,10,c,24,2
G19,10,c,24,2
G19,10,c,24,2
G19,10,c,24,2
G19,10,c,24,2
G19,10,c,24,2
G19,10,c,24,2
G19,10,c,24,2
G19,10,c,24,1
G19,10,c,24,1
G19,10,c,24,1
G19,10,c,24,1
G19,15,d,4,2
G19,15,d,12,2
G19,15,d,24,2
G19,15,d,24,2
G19,15,d,24,2
G19,15,d,24,2
G19,15,d,24,2
G19,15,d,24,2
G19,15,d,24,2
G19,15,d,24,2
G19,15,d,24,2
G19,15,d,24,1
G19,15,d,24,1
G19,15,d,24,1
G19,15,d,24,1
G19,15,d,24,1
G19,15,d,24,1
G19,15,d,24,1
G19,15,d,24,1
G19,15,d,24,1
G20,1,a,4,2
G20,1,a,8,2
G20,1,a,24,2
G20,1,a,24,2
G20,1,a,24,2
G20,1,a,24,2
G20,1,a,24,2
G20,1,a,24,2
G20,1,a,24,2
G20,1,a,24,2
G20,1,a,24,2
G20,1,a,24,2
G20,1,a,24,1
G20,1,a,24,1
G20,1,a,24,1
G20,1,a,24,1
G20,1,a,24,1
G20,1,a,24,1
G20,5,b,8,2
G20,5,b,24,2
G20,5,b,24,2
G20,5,b,24,2
G20,5,b,24,2
G20,5,b,24,2
G20,5,b,24,2
G20,5,b,24,1
G20,5,b,24,1
G20,5,b,24,1
G20,5,b,24,1
G20,5,b,24,1
G20,5,b,24,1
G20,5,b,24,1
G20,5,b,24,1
G20,5,b,24,1
G20,5,b,24,1
G20,10,c,24,2
G20,10,c,24,2
G20,10,c,24,2
G20,10,c,24,2
G20,10,c,24,2
G20,10,c,24,2
G20,10,c,24,2
G20,10,c,24,2
G20,10,c,24,2
G20,10,c,24,1
G20,10,c,24,1
G20,10,c,24,1
G20,10,c,24,1
G20,10,c,24,1
G20,10,c,24,1
G20,10,c,24,1
G20,10,c,24,1
G20,10,c,24,1
G20,10,c,24,1
G20,15,d,24,2
G20,15,d,24,2
G20,15,d,24,2
G20,15,d,24,2
G20,15,d,24,2
G20,15,d,24,2
G20,15,d,24,2
G20,15,d,24,2
G20,15,d,24,2
G20,15,d,24,2
G20,15,d,24,2
G20,15,d,24,1
G20,15,d,24,1
G20,15,d,24,1
G20,15,d,24,1
G20,15,d,24,1
G20,15,d,24,1
G20,15,d,24,1
G20,15,d,24,1
G20,15,d,24,1
G20,15,d,24,1
G20,15,d,24,1
G20,15,d,24,1
G20,15,d,24,1
G21,1,a,8,2
G21,1,a,12,2
G21,1,a,12,2
G21,1,a,12,2
G21,1,a,12,2
G21,1,a,12,2
G21,1,a,12,2
G21,1,a,12,2
G21,1,a,12,2
G21,1,a,12,2
G21,1,a,24,2
G21,1,a,24,2
G21,1,a,24,2
